Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality,
35H,08/04/21,0.32,1,1,3,3,10,2,8,LM (T),,20.00%,
35H,08/04/21,0.16,1,1,3,4,6,2,4,LM (T),,33.00%,
35H,08/04/21,0.08,1,1,3,5,14,2,12,LM (T),,14.00%,
35H,08/04/21,0.04,1,1,3,6,13,4,9,LM (T),,31.00%,
35H,08/04/21,0.02,1,1,3,7,20,3,17,LM (T),,15.00%,
35H,08/04/21,0.01,1,1,3,8,14,3,11,LM (T),,21.00%,
35H,08/04/21,0.005,1,1,3,9,13,0,13,LM (T),,0.00%,
35H,08/04/21,0.0025,1,1,3,10,15,5,10,LM (T),,33.00%,
VC,08/04/21,0,1,1,3,12,17,3,14,LM (T),,18.00%,
38L,08/04/21,10.24,1,1,4,1,3,3,0,LM (T),Low worm count. ,100.00%,
38L,08/04/21,5.12,1,1,4,2,8,8,0,LM (T),,100.00%,
38L,08/04/21,2.56,1,1,4,3,6,5,1,LM (T),,83.00%,
38L,08/04/21,1.28,1,1,4,4,10,9,1,LM (T),,90.00%,
38L,08/04/21,0.64,1,1,4,5,4,4,0,LM (T),Low worm count. ,100.00%,
38L,08/04/21,0.32,1,1,4,6,8,8,0,LM (T),,100.00%,
38L,08/04/21,0.16,1,1,4,7,8,8,0,LM (T),,100.00%,
38L,08/04/21,0.08,1,1,4,8,8,8,0,LM (T),,100.00%,
38L,08/04/21,0.04,1,1,4,9,11,11,0,LM (T),,100.00%,
38L,08/04/21,0.02,1,1,4,10,11,11,0,LM (T),,100.00%,
VC,08/04/21,0,1,1,4,12,15,2,13,LM (T),,13.00%,
94M,08/04/21,64,1,1,5,1,13,4,9,LM (T),,31.00%,
94M,08/04/21,32,1,1,5,2,10,3,7,LM (T),,30.00%,
94M,08/04/21,16,1,1,5,3,9,1,8,LM (T),,11.00%,
94M,08/04/21,8,1,1,5,4,14,3,11,LM (T),,21.00%,
94M,08/04/21,4,1,1,5,5,13,1,12,LM (T),,8.00%,
94M,08/04/21,2,1,1,5,6,16,3,13,LM (T),,19.00%,
94M,08/04/21,1,1,1,5,7,12,0,12,LM (T),,0.00%,
94M,08/04/21,0.5,1,1,5,8,14,2,12,LM (T),,14.00%,
94M,08/04/21,0.25,1,1,5,9,15,0,15,LM (T),,0.00%,
94M,08/04/21,0.125,1,1,5,10,11,3,8,LM (T),,27.00%,
VC,08/04/21,0,1,1,5,12,23,2,21,LM (T),,9.00%,
93A,08/04/21,16,1,1,6,1,13,11,2,LM (T),,85.00%,
93A,08/04/21,8,1,1,6,2,11,10,1,LM (T),,91.00%,
93A,08/04/21,4,1,1,6,3,15,15,0,LM (T),,100.00%,
93A,08/04/21,2,1,1,6,4,9,6,3,LM (T),,67.00%,
93A,08/04/21,1,1,1,6,5,12,7,5,LM (T),,58.00%,
93A,08/04/21,0.5,1,1,6,6,11,5,6,LM (T),,45.00%,
93A,08/04/21,0.25,1,1,6,7,12,6,6,LM (T),,50.00%,
93A,08/04/21,0.125,1,1,6,8,11,4,7,LM (T),,36.00%,
93A,08/04/21,0.0625,1,1,6,9,12,0,12,LM (T),,0.00%,
93A,08/04/21,0.03125,1,1,6,10,7,2,5,LM (T),,29.00%,
VC,08/04/21,0,1,1,6,12,14,2,12,LM (T),,14.00%,
93B,08/04/21,139,1,1,7,1,11,5,6,LM (T),,45.00%,
93B,08/04/21,69.5,1,1,7,2,10,2,8,LM (T),,20.00%,
93B,08/04/21,34.75,1,1,7,3,14,5,9,LM (T),,36.00%,
93B,08/04/21,17.375,1,1,7,4,12,1,11,LM (T),,8.00%,
93B,08/04/21,8.6875,1,1,7,5,16,0,16,LM (T),,0.00%,
93B,08/04/21,4.34375,1,1,7,6,16,1,15,LM (T),,6.00%,
93B,08/04/21,2.171875,1,1,7,7,9,1,8,LM (T),,11.00%,
93B,08/04/21,1.0859375,1,1,7,8,7,0,7,LM (T),,0.00%,
93B,08/04/21,0.54296875,1,1,7,9,13,1,12,LM (T),,8.00%,
93B,08/04/21,0.271484375,1,1,7,10,8,1,7,LM (T),,12.00%,
VC,08/04/21,0,1,1,7,12,18,2,16,LM (T),,11.00%,
1036-14B,08/04/21,1.28,1,1,8,1,20,19,1,LM (T),2 eggs, 10 artifacts,95.00%
1036-14B,08/04/21,0.64,1,1,8,2,15,13,2,LM (T),,87.00%,
1036-14B,08/04/21,0.32,1,1,8,3,10,9,1,LM (T),,90.00%,
1036-14B,08/04/21,0.16,1,1,8,4,20,4,16,LM (T),1 egg, 5 artifacts,20.00%
1036-14B,08/04/21,0.08,1,1,8,5,14,2,12,LM (T),,14.00%,
1036-14B,08/04/21,0.04,1,1,8,6,11,3,8,LM (T),5 artifacts,27.00%,
1036-14B,08/04/21,0.02,1,1,8,7,12,1,11,LM (T),,8.00%,
1036-14B,08/04/21,0.01,1,1,8,8,12,1,11,LM (T),1 egg, 11 artifacts,8.00%
1036-14B,08/04/21,0.005,1,1,8,9,19,6,13,LM (T),,32.00%,
1036-14B,08/04/21,0.0025,1,1,8,10,11,1,10,LM (T),,9.00%,
VC,08/04/21,0,1,1,8,12,29,2,27,LM (T),High worm count. ,7.00%,
